UPN,N_Y,E_X,Elv_Z,source_file,Source,Date_Scanned,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Data_Scanned ,id,hammeringStatus,positioningTime,hammeringTime,headHeight,finishedAt,reachedAt,machine
400266,365949.613,2263293.272,905.9637,INV 24 Design Points.csv,,,,,,,,,,,,,400266,INCOMPLETE_NO_FINISH_TIME,,0.002435116,,,,Doyle-2500-010 - Machine 1
400267,366087.637,2263295.272,907.56,INV 24 Design Points.csv,,,,,,,,,,,,,400267,COMPLETED,,0.040244039,276.6225951,2025-12-17 12:48:30,,Doyle-2500-020 - Machine 3
400268,365949.613,2263295.272,905.8636,INV 24 Design Points.csv,,,,,,,,,,,,,400268,COMPLETED,,0.00151081,276.095399,2025-12-30 10:48:20,,Doyle-2500-010 - Machine 1
400269,366087.637,2263293.272,907.5316,INV 24 Design Points.csv,,,,,,,,,,,,,400269,INCOMPLETE_NO_FINISH_TIME,,0.001601678,,,,Doyle-2500-020 - Machine 3
400270,365812.522,2263351.772,904.6628,INV 24 Design Points.csv,,,,,,,,,,,,,400270,COMPLETED,,0.001038472,275.738775,2025-12-30 13:50:58,,Doyle-2500-007 - Machine 8
400271,365557.405,2263351.772,900.5654615,INV 24 Design Points.csv,,,,,,,,,,,,,400271,COMPLETED,,0.006050799,274.4937626,2025-12-30 13:24:36,,Doyle-2500-007 - Machine 8
400272,365812.522,2263312.772,904.3813,INV 24 Design Points.csv,,,,,,,,,,,,,400272,COMPLETED,,0.001266944,275.6505378,2025-12-30 13:45:27,,Doyle-2500-007 - Machine 8
400273,365557.405,2263312.772,902.4042244,INV 24 Design Points.csv,,,,,,,,,,,,,400273,COMPLETED,,0.016399699,275.131413,2025-12-18 11:41:27,,Doyle-2500-032-Machine 9
600269,365953.113,2263292.335,907.6257,INV 24 Design Points.csv,,,,,,,,,,,,,600269,COMPLETED,,0.0004164,276.6442885,2025-12-17 13:30:53,,Doyle-2500-020 - Machine 3
600270,365960.013,2263292.335,907.7631,INV 24 Design Points.csv,,,,,,,,,,,,,600270,COMPLETED,,0.000914977,276.6901813,2025-12-17 13:25:45,,Doyle-2500-020 - Machine 3
600271,365955.413,2263296.21,907.5157,INV 24 Design Points.csv,,,,,,,,,,,,,600271,COMPLETED,,0.00062206,276.6158899,2025-12-17 13:44:33,,Doyle-2500-020 - Machine 3
600272,365950.813,2263296.21,907.4103,INV 24 Design Points.csv,,,,,,,,,,,,,600272,INCOMPLETE_NO_FINISH_TIME,,0.0,,,,Doyle-2500-020 - Machine 3
600273,365960.013,2263296.21,907.5783,INV 24 Design Points.csv,,,,,,,,,,,,,600273,COMPLETED,,0.000661146,276.6315582,2025-12-17 13:21:46,,Doyle-2500-020 - Machine 3
600274,365809.022,2263311.835,905.7144,INV 24 Design Points.csv,,,,,,,,,,,,,600274,COMPLETED,,0.000236771,276.0584843,2025-12-17 13:40:27,,Doyle-2500-011 - Machine 2
600275,365804.422,2263311.835,905.7419,INV 24 Design Points.csv,,,,,,,,,,,,,600275,COMPLETED,,0.000282778,276.0652945,2025-12-17 13:45:48,,Doyle-2500-011 - Machine 2
